Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2022-02-17,2022,February,17,394.23999,385.700012,399.109985,392.40499850000003,386.670013,4669200
2022-02-18,2022,February,18,392.529999,389.049988,402.869995,395.9599915,391.290009,6801700
2022-02-22,2022,February,22,388.950012,373.019989,392.420013,382.720001,377.380005,6697500
2022-02-23,2022,February,23,382.720001,366.660004,386.0,376.33000200000004,367.459991,4614300
2022-02-24,2022,February,24,355.089996,354.720001,390.730011,372.725006,390.029999,7068700
2022-02-25,2022,February,25,386.609985,375.579987,391.290009,383.434998,390.799988,4841600
2022-02-28,2022,February,28,387.329987,382.130005,397.75,389.9400025,394.519989,5035000
2022-03-01,2022,March,1,391.600006,383.709991,395.0,389.3549955,386.23999,3290400
2022-03-02,2022,March,2,388.929993,375.209991,389.220001,382.21499600000004,380.029999,5356800
2022-03-03,2022,March,3,386.0,364.649994,386.119995,375.3849945,368.070007,6076800
2022-03-04,2022,March,4,368.0,357.170013,374.820007,365.99501,361.730011,5325500
2022-03-07,2022,March,7,360.410004,350.200012,362.0,356.100006,350.26001,5708400
2022-03-08,2022,March,8,349.799988,340.670013,358.859985,349.764999,341.76001,6428700
2022-03-09,2022,March,9,357.690002,350.51001,364.140015,357.3250125,358.790009,6520200
2022-03-10,2022,March,10,356.200012,353.299988,367.019989,360.1599885,356.769989,4807800
2022-03-11,2022,March,11,361.190002,340.0,363.359985,351.6799925,340.320007,4819900
2022-03-14,2022,March,14,338.720001,329.820007,341.320007,335.570007,331.01001,5907800
2022-03-15,2022,March,15,335.100006,332.359985,345.359985,338.859985,343.75,5460600
2022-03-16,2022,March,16,348.200012,343.059998,359.98999,351.524994,357.529999,6982500
2022-03-17,2022,March,17,359.700012,354.880005,373.309998,364.09500149999997,371.399994,5818300
2022-03-18,2022,March,18,372.0,368.470001,381.799988,375.1349945,380.600006,8324800
2022-03-21,2022,March,21,378.019989,368.940002,381.820007,375.3800045,374.589996,4866500
2022-03-22,2022,March,22,371.140015,366.76001,386.660004,376.710007,382.920013,4242800
2022-03-23,2022,March,23,379.769989,374.48999,382.459991,378.4749905,374.48999,3729000
2022-03-24,2022,March,24,379.76001,368.899994,379.76001,374.33000200000004,375.709991,3888500
2022-03-25,2022,March,25,377.070007,366.429993,377.640015,372.035004,373.850006,3574500
2022-03-28,2022,March,28,375.230011,366.730011,380.279999,373.505005,378.51001,4323400
2022-03-29,2022,March,29,384.390015,380.329987,396.5,388.41499350000004,391.820007,5880700
2022-03-30,2022,March,30,389.549988,378.630005,392.700012,385.6650085,381.470001,4023300
2022-03-31,2022,March,31,383.589996,373.609985,384.0,378.8049925,374.589996,4134700
2022-04-01,2022,April,1,376.799988,368.5,380.869995,374.6849975,373.470001,4644200
2022-04-04,2022,April,4,373.549988,373.130005,396.019989,384.574997,391.5,7001800
2022-04-05,2022,April,5,389.299988,377.309998,390.0,383.654999,380.149994,4234500
2022-04-06,2022,April,6,374.149994,362.730011,376.470001,369.600006,368.350006,4354900
2022-04-07,2022,April,7,365.0,353.690002,368.540009,361.1150055,362.149994,4948900
2022-04-08,2022,April,8,361.959991,354.869995,362.5,358.6849975,355.880005,4025200
2022-04-11,2022,April,11,350.0,345.200012,354.779999,349.9900055,348.0,3777100
2022-04-12,2022,April,12,355.910004,342.25,359.410004,350.83000200000004,344.100006,3824300
2022-04-13,2022,April,13,343.920013,341.160004,352.0,346.58000200000004,350.429993,3231000
2022-04-14,2022,April,14,350.950012,339.859985,352.0,345.9299925,341.130005,4343800
2022-04-18,2022,April,18,340.0,331.619995,342.359985,336.98999000000003,337.859985,5105000
2022-04-19,2022,April,19,333.220001,333.220001,351.679993,342.44999700000005,348.609985,20906900
2022-04-20,2022,April,20,245.199997,212.509995,248.699997,230.604996,226.190002,133387500
2022-04-21,2022,April,21,220.0,211.520004,227.679993,219.5999985,218.220001,53501600
2022-04-22,2022,April,22,220.179993,210.050003,226.270004,218.16000350000002,215.520004,37515100
2022-04-25,2022,April,25,213.809998,204.509995,216.660004,210.58499949999998,209.910004,28152000
2022-04-26,2022,April,26,208.800003,198.279999,209.149994,203.71499649999998,198.399994,20318100
2022-04-27,2022,April,27,194.009995,187.770004,200.190002,193.980003,188.539993,22298400
2022-04-28,2022,April,28,191.559998,185.600006,201.479996,193.54000100000002,199.520004,21363200
2022-04-29,2022,April,29,198.679993,190.0,204.710007,197.3550035,190.360001,16391900
2022-05-02,2022,May,2,191.710007,190.009995,200.210007,195.110001,199.460007,14591600
2022-05-03,2022,May,3,198.289993,194.770004,203.199997,198.9850005,199.869995,11839400
2022-05-04,2022,May,4,197.649994,191.009995,204.380005,197.695,204.009995,12218800
2022-05-05,2022,May,5,200.449997,186.0,200.710007,193.3550035,188.320007,13971300
2022-05-06,2022,May,6,186.75,175.809998,187.210007,181.51000249999998,180.970001,17185500
2022-05-09,2022,May,9,177.660004,172.300003,183.199997,177.75,173.100006,14031300
2022-05-10,2022,May,10,176.009995,170.570007,181.869995,176.220001,177.660004,13883900
