Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume,Company Name
2022-01-03,2022,January,3,116.470001,114.779999,117.800003,116.290001,116.68,5475700.0,Starbucks
2022-01-04,2022,January,4,116.900002,114.169998,117.050003,115.61000050000001,114.239998,8367600.0,Starbucks
2022-01-05,2022,January,5,114.400002,110.400002,114.959999,112.6800005,110.440002,8662300.0,Starbucks
2022-01-06,2022,January,6,110.0,109.989998,111.879997,110.93499750000001,111.139999,6099900.0,Starbucks
2022-01-07,2022,January,7,108.220001,107.480003,109.709999,108.595001,107.57,11266400.0,Starbucks
2022-01-10,2022,January,10,106.620003,104.419998,107.010002,105.715,106.029999,8499400.0,Starbucks
2022-01-11,2022,January,11,106.040001,103.709999,106.169998,104.9399985,104.040001,13073200.0,Starbucks
2022-01-12,2022,January,12,104.440002,103.68,105.32,104.5,103.870003,11810500.0,Starbucks
2022-01-13,2022,January,13,104.150002,102.089996,104.669998,103.379997,102.400002,9818500.0,Starbucks
2022-01-14,2022,January,14,101.910004,99.089996,101.910004,100.5,100.120003,13703200.0,Starbucks
2022-01-18,2022,January,18,99.169998,97.510002,99.360001,98.4350015,97.730003,11396000.0,Starbucks
2022-01-19,2022,January,19,97.940002,96.779999,98.389999,97.58499900000001,96.870003,10856800.0,Starbucks
2022-01-20,2022,January,20,97.489998,95.589996,98.940002,97.264999,95.720001,20311500.0,Starbucks
2022-01-21,2022,January,21,95.900002,95.470001,98.410004,96.94000249999999,96.309998,13438300.0,Starbucks
2022-01-24,2022,January,24,94.75,94.410004,98.349998,96.380001,98.099998,17201400.0,Starbucks
2022-01-25,2022,January,25,96.669998,95.129997,98.089996,96.6099965,97.010002,12368500.0,Starbucks
2022-01-26,2022,January,26,97.699997,94.900002,98.639999,96.77000050000001,95.580002,11863000.0,Starbucks
2022-01-27,2022,January,27,96.620003,95.059998,97.169998,96.114998,95.32,7322200.0,Starbucks
2022-01-28,2022,January,28,95.059998,93.790001,97.220001,95.505001,97.209999,8345400.0,Starbucks
2022-01-31,2022,January,31,97.029999,96.419998,98.400002,97.41,98.32,8807700.0,Starbucks
2022-02-01,2022,February,1,98.419998,96.800003,99.029999,97.915001,98.760002,11601900.0,Starbucks
2022-02-02,2022,February,2,95.800003,94.739998,99.150002,96.945,97.730003,15578800.0,Starbucks
2022-02-03,2022,February,3,96.839996,95.669998,97.470001,96.5699995,95.940002,8901100.0,Starbucks
2022-02-04,2022,February,4,95.410004,93.830002,95.940002,94.885002,95.0,8267600.0,Starbucks
2022-02-07,2022,February,7,95.349998,94.879997,96.110001,95.494999,95.190002,6849000.0,Starbucks
2022-02-08,2022,February,8,95.290001,94.349998,96.029999,95.1899985,94.919998,7161000.0,Starbucks
2022-02-09,2022,February,9,96.25,96.199997,97.970001,97.084999,97.129997,9353700.0,Starbucks
2022-02-10,2022,February,10,95.459999,94.980003,96.809998,95.8950005,95.309998,9098800.0,Starbucks
2022-02-11,2022,February,11,95.589996,93.360001,96.489998,94.9249995,93.730003,6924800.0,Starbucks
2022-02-14,2022,February,14,93.75,92.419998,94.489998,93.454998,93.650002,7948500.0,Starbucks
2022-02-15,2022,February,15,95.150002,94.360001,95.459999,94.91,94.510002,7722200.0,Starbucks
2022-02-16,2022,February,16,94.339996,93.160004,95.550003,94.35500350000001,95.18,6545800.0,Starbucks
2022-02-17,2022,February,17,94.419998,92.779999,94.629997,93.704998,93.050003,6578200.0,Starbucks
2022-02-18,2022,February,18,92.559998,92.529999,94.050003,93.290001,93.339996,6210600.0,Starbucks
2022-02-22,2022,February,22,93.599998,92.360001,94.040001,93.200001,93.110001,8622500.0,Starbucks
2022-02-23,2022,February,23,93.879997,89.440002,93.879997,91.6599995,89.650002,9674800.0,Starbucks
2022-02-24,2022,February,24,87.5,87.25,91.199997,89.2249985,91.010002,9260500.0,Starbucks
2022-02-25,2022,February,25,91.300003,90.279999,92.790001,91.535,92.580002,7039400.0,Starbucks
2022-02-28,2022,February,28,91.290001,90.620003,92.309998,91.4650005,91.790001,8591500.0,Starbucks
2022-03-01,2022,March,1,91.489998,89.650002,91.510002,90.58000200000001,90.139999,7100700.0,Starbucks
2022-03-02,2022,March,2,90.769997,90.589996,93.279999,91.93499750000001,92.769997,10721100.0,Starbucks
2022-03-03,2022,March,3,93.480003,91.080002,93.5,92.29000099999999,91.529999,6587400.0,Starbucks
2022-03-04,2022,March,4,90.970001,89.449997,91.160004,90.3050005,90.029999,7179800.0,Starbucks
2022-03-07,2022,March,7,90.040001,84.349998,90.050003,87.2000005,84.459999,14608700.0,Starbucks
2022-03-08,2022,March,8,84.760002,83.760002,86.919998,85.34,84.0,10692000.0,Starbucks
2022-03-09,2022,March,9,86.5,86.330002,88.129997,87.22999949999999,87.599998,8811600.0,Starbucks
2022-03-10,2022,March,10,86.089996,85.599998,87.360001,86.47999949999999,87.160004,9114300.0,Starbucks
2022-03-11,2022,March,11,88.349998,82.540001,88.809998,85.6749995,82.730003,15351700.0,Starbucks
2022-03-14,2022,March,14,82.32,78.919998,82.339996,80.629997,79.290001,18199300.0,Starbucks
2022-03-15,2022,March,15,80.5,80.279999,83.440002,81.86000050000001,83.120003,12542300.0,Starbucks
2022-03-16,2022,March,16,88.010002,85.620003,90.089996,87.85499949999999,87.410004,21207900.0,Starbucks
2022-03-17,2022,March,17,87.459999,86.010002,87.949997,86.97999949999999,87.660004,8554200.0,Starbucks
2022-03-18,2022,March,18,86.120003,84.980003,89.75,87.3650015,89.599998,23784200.0,Starbucks
2022-03-21,2022,March,21,89.610001,85.970001,89.720001,87.845001,86.860001,11925300.0,Starbucks
2022-03-22,2022,March,22,87.400002,87.150002,89.099998,88.125,87.889999,8447400.0,Starbucks
2022-03-23,2022,March,23,87.360001,86.099998,87.709999,86.9049985,86.220001,7670500.0,Starbucks
2022-03-24,2022,March,24,86.830002,85.559998,87.150002,86.35499999999999,87.120003,6163400.0,Starbucks
2022-03-25,2022,March,25,87.389999,86.220001,87.669998,86.9449995,87.449997,7048100.0,Starbucks
2022-03-28,2022,March,28,87.480003,86.75,88.419998,87.58499900000001,88.379997,5981000.0,Starbucks
2022-03-29,2022,March,29,89.699997,89.660004,91.900002,90.780003,91.230003,8963200.0,Starbucks
2022-03-30,2022,March,30,90.75,90.400002,91.540001,90.9700015,91.029999,8122100.0,Starbucks
2022-03-31,2022,March,31,91.32,90.970001,92.629997,91.799999,90.970001,11306100.0,Starbucks
2022-04-01,2022,April,1,91.5,90.480003,91.889999,91.185001,91.489998,6516300.0,Starbucks
2022-04-04,2022,April,4,87.889999,86.18,88.459999,87.3199995,88.089996,16243100.0,Starbucks
2022-04-05,2022,April,5,86.559998,83.82,86.620003,85.2200015,84.120003,17525800.0,Starbucks
2022-04-06,2022,April,6,83.650002,82.07,83.889999,82.97999949999999,83.360001,10567000.0,Starbucks
2022-04-07,2022,April,7,82.989998,81.449997,83.5,82.4749985,83.120003,10869100.0,Starbucks
2022-04-08,2022,April,8,83.190002,81.339996,83.190002,82.264999,81.519997,9286800.0,Starbucks
2022-04-11,2022,April,11,80.879997,80.290001,81.739998,81.0149995,80.68,8623200.0,Starbucks
2022-04-12,2022,April,12,80.830002,79.650002,81.269997,80.45999950000001,79.790001,8472500.0,Starbucks
2022-04-13,2022,April,13,79.879997,79.610001,81.309998,80.4599995,80.919998,8604400.0,Starbucks
2022-04-14,2022,April,14,80.75,79.25,81.080002,80.16500099999999,79.5,9567200.0,Starbucks
2022-04-18,2022,April,18,79.040001,78.879997,79.970001,79.424999,79.599998,7797300.0,Starbucks
2022-04-19,2022,April,19,79.620003,79.410004,81.540001,80.4750025,81.220001,8622100.0,Starbucks
2022-04-20,2022,April,20,81.309998,80.0,81.519997,80.7599985,80.169998,8368800.0,Starbucks
2022-04-21,2022,April,21,81.050003,78.730003,81.190002,79.9600025,78.959999,8152500.0,Starbucks
2022-04-22,2022,April,22,78.889999,77.779999,79.480003,78.630001,77.919998,10315500.0,Starbucks
2022-04-25,2022,April,25,77.379997,76.730003,78.080002,77.4050025,77.980003,10259000.0,Starbucks
2022-04-26,2022,April,26,77.489998,75.629997,77.580002,76.60499949999999,75.629997,8800500.0,Starbucks
2022-04-27,2022,April,27,75.379997,74.68,76.43,75.555,74.739998,8467300.0,Starbucks
2022-04-28,2022,April,28,75.620003,74.860001,77.099998,75.97999949999999,76.580002,8818500.0,Starbucks
2022-04-29,2022,April,29,76.019997,74.480003,76.769997,75.625,74.639999,9199300.0,Starbucks
2022-05-02,2022,May,2,75.25,73.470001,75.720001,74.595001,75.370003,12379000.0,Starbucks
2022-05-03,2022,May,3,75.720001,73.379997,75.790001,74.58499900000001,74.330002,15570100.0,Starbucks
2022-05-04,2022,May,4,79.309998,77.919998,82.870003,80.39500050000001,81.639999,30199700.0,Starbucks
2022-05-05,2022,May,5,80.43,77.129997,81.220001,79.174999,77.480003,19114700.0,Starbucks
2022-05-06,2022,May,6,77.029999,75.209999,77.199997,76.20499799999999,76.519997,11165800.0,Starbucks
2022-05-09,2022,May,9,75.239998,73.330002,76.550003,74.94000249999999,73.489998,12863600.0,Starbucks
2022-05-10,2022,May,10,74.849998,71.610001,75.050003,73.33000200000001,71.860001,14085900.0,Starbucks
2022-05-11,2022,May,11,71.550003,69.959999,71.949997,70.95499799999999,70.059998,12118100.0,Starbucks
2022-05-12,2022,May,12,69.150002,68.389999,70.029999,69.20999900000001,69.900002,15460600.0,Starbucks
2022-05-13,2022,May,13,71.879997,71.879997,75.730003,73.805,75.599998,18156300.0,Starbucks
2022-05-16,2022,May,16,74.940002,72.309998,75.440002,73.875,72.419998,11435300.0,Starbucks
2022-05-17,2022,May,17,74.010002,72.839996,74.349998,73.594997,73.720001,12454500.0,Starbucks
2022-05-18,2022,May,18,73.150002,70.779999,73.540001,72.16,71.279999,10576500.0,Starbucks
2022-05-19,2022,May,19,71.099998,70.330002,72.419998,71.375,71.93,11193700.0,Starbucks
2022-05-20,2022,May,20,72.879997,71.459999,73.43,72.4449995,73.389999,15941800.0,Starbucks
2022-05-23,2022,May,23,73.730003,72.57,74.269997,73.41999849999999,73.419998,10741900.0,Starbucks
